solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,seed
bfs-single_core,1,0.125865929,52.1953125,52.1953125,552,ec57a5f7ce1be533
bfs-single_core,1,0.316650128,51.84765625,51.84765625,597,69b3f582f54a16b5
bfs-single_core,1,0.387800028,51.33203125,51.33203125,956,95f50289d90d92de
bfs-single_core,1,0.10768991,66.32421875,66.32421875,201,fd15c348363223f7
bfs-single_core,1,0.055971368,70.859375,70.859375,119,05e4106b3f185766
bfs-single_core,1,0.782800074,70.8984375,70.8984375,1360,604d252361672229
bfs-single_core,1,6.356096541,177.7109375,94.63427734375,13364,fafd0e6268b64a8b
bfs-single_core,1,0.114246191,70.09765625,70.09765625,222,022391ed23da0e5b
bfs-single_core,1,0.142989359,77.640625,77.640625,286,e7fffcc8ea0a7955
bfs-single_core,1,0.201868058,81.49609375,81.49609375,446,e8d961d14702e312
bfs-single_core,1,8.128089031,215.87890625,104.85333806818181,14802,9a7cf7b99d9f7728
bfs-single_core,1,0.970303669,107.65625,100.15625,1622,505515ce4630ff94
bfs-single_core,1,0.240489724,304.38671875,304.38671875,667,9abfb20afa7ef243
bfs-single_core,1,0.03036971,142.9296875,142.9296875,77,6a5bb3388670a7be
bfs-single_core,1,0.072164354,102.91015625,102.91015625,155,2b91d7554e472d2a
bfs-single_core,1,9.349001174,519.484375,248.11662946428572,13729,06b836c72a797de8
bfs-single_core,1,0.094911097,91.109375,91.109375,212,bdbf4fa670020e24
bfs-single_core,1,37.874184452,1025.12109375,386.548515625,112055,5174b98075a6950d
bfs-single_core,0,134.679257841,1834.79296875,971.3373766447369,300000,cfbda08dc791f84a
bfs-single_core,1,11.580422895,341.10546875,167.957275390625,14610,91e6edb8d3b9a236
bfs-single_core,1,0.324551284,73.0390625,73.0390625,1000,3bc67512417c2754
bfs-single_core,0,168.540536852,1892.45703125,915.2588128810976,300000,e7e976b869f65bee
bfs-single_core,1,0.165715376,51.55078125,51.55078125,236,102c8d38840e50db
bfs-single_core,1,0.058078494,65.19921875,65.19921875,107,fd4af295de2619d8
bfs-single_core,1,0.417330131,65.24609375,65.24609375,738,ae1ab235b91a24cd
bfs-single_core,1,0.095423272,81.5859375,81.5859375,211,b2a640dbf9218baa
bfs-single_core,1,0.067175695,80.75390625,80.75390625,98,de613028486e1b9c
bfs-single_core,0,176.505831055,1683.64453125,872.3519011921966,300000,4d03da08e5e25750
bfs-single_core,0,175.279104311,2155.23046875,1132.7071220930231,300000,706d3c9484a1ff0a
bfs-single_core,1,0.115403699,58.01171875,58.01171875,174,454288ee1f8d9b79
bfs-single_core,1,0.764113249,61.19140625,61.19140625,1704,d52a95a82e1ce4de
bfs-single_core,1,0.057990253,88.65234375,88.65234375,102,305a873e77f125a1
bfs-single_core,1,0.17503188,73.265625,73.265625,501,8962d98a048ff380
bfs-single_core,1,0.100229796,74.32421875,74.32421875,381,2d77c699e4dd74ce
bfs-single_core,1,0.494487317,74.734375,74.734375,717,3db4751900f666e3
bfs-single_core,1,1.209258976,97.671875,96.873046875,1583,9914567c7cd0bdac
bfs-single_core,1,0.123348149,124.859375,124.859375,211,5d20cfe845dc1963
bfs-single_core,1,1.741964799,111.82421875,103.32161458333333,2625,de816ecd5e328b30
bfs-single_core,1,0.106189627,134.5,134.5,228,0f07f8d78e76b1a9
bfs-single_core,1,89.321514916,1894.33984375,1100.8966652199074,186757,17e22ddfcbb0a0ad
bfs-single_core,1,14.695710705,255.22265625,136.21737132352942,34519,52925e5298571fa1
bfs-single_core,1,0.20988153,410.1953125,410.1953125,643,0bf587e040e2ad74
bfs-single_core,1,0.090887806,117.9296875,117.9296875,147,de67e0a75551bb83
bfs-single_core,1,0.123745671,94.93359375,94.93359375,162,8c4342a99950e109
bfs-single_core,0,166.278919776,1856.49609375,988.7900752314815,300000,69683c9de6620b4d
bfs-single_core,1,0.079701934,3120.52734375,3120.52734375,145,a7054b0481027c74
bfs-single_core,1,0.140681978,93.5390625,93.5390625,251,88595ba37f049658
bfs-single_core,1,7.167471669,280.00390625,138.89973958333334,19354,5939714fc5466c3f
bfs-single_core,1,0.206822837,332.3046875,332.3046875,386,5643fbe314faf187
bfs-single_core,1,0.176218442,142.33984375,142.33984375,231,fa95a9ad4b2e9210
bfs-single_core,1,0.162331589,133.34375,133.34375,235,e45cb677d10669a1
bfs-single_core,1,15.27747063,473.43359375,186.94921875,25382,38004e5f473e55bc
bfs-single_core,1,9.441010513,351.9921875,192.453125,14501,b644bc3d5436eb67
bfs-single_core,1,12.627065275,497.1484375,422.65,32571,beb8a05453f649a5
bfs-single_core,1,23.824373182,546.73046875,246.87284482758622,55408,200bc30b8a2fad17
bfs-single_core,1,0.073419061,735.4140625,735.4140625,123,447b865da9f06295
bfs-single_core,1,0.056331348,220.453125,220.453125,69,75305547d4066ff1
bfs-single_core,1,74.368147484,1706.3359375,571.82421875,153736,de4e7a27d9072e7e
bfs-single_core,1,0.283456935,177.45703125,177.45703125,373,cb8ba7a593e4e95b
bfs-single_core,1,0.396931164,178.59375,178.59375,543,81b043dc52224e51
bfs-single_core,1,0.07306193,191.83203125,191.83203125,88,80a5b733c178a5b7
bfs-single_core,1,67.677497238,1128.8828125,452.49949919871796,107741,dfbe6793c3bb930c
bfs-single_core,1,0.177911562,2180.953125,2180.953125,229,4564069b0fbe2314
bfs-single_core,0,152.734721162,1758.046875,893.2767407718121,300000,ed1841bfbd87b563
bfs-single_core,0,306.372992219,5838.2421875,3055.7145833333334,300000,fe8d0513ab5de873
