solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,1,0.121181236,54.11328125,54.11328125,154,107,f1d53efa2dcf3fd8
gready-single-core,1,0.081168312,56.67578125,56.67578125,114,87,f403f585ed245cd7
gready-single-core,1,1.221688779,63.8515625,60.3515625,2128,112,643e3ebbaaab2603
gready-single-core,1,14.523483424,333.03125,142.14322916666666,34807,93,4d33313d2c641be9
gready-single-core,1,19.818100835,450.8984375,162.1859375,61732,105,86614c72cbc3ef2c
gready-single-core,1,0.159711419,50.93359375,50.93359375,465,99,36ce389b5d9d01e3
gready-single-core,1,0.111770731,50.31640625,50.31640625,244,97,a5c64c68a59526a2
gready-single-core,1,0.128310142,51.67578125,51.67578125,253,105,9b5c423e587596b2
gready-single-core,1,21.965475397,471.984375,170.99363425925927,54458,88,f872571e3ba11033
gready-single-core,1,0.283784779,50.6328125,50.6328125,640,95,86255834cab7e86e
gready-single-core,1,0.111816426,53.05859375,53.05859375,255,90,5e27ffe4876a7003
gready-single-core,1,1.053029239,62.05859375,57.80859375,3264,104,b212443c646b4663
gready-single-core,1,5.787585963,163.5078125,99.0390625,10537,115,cda96fabd74c82d9
gready-single-core,1,7.788154788,289.09375,128.465234375,15896,123,d1ac36e23f03f512
gready-single-core,1,0.131393117,81.91796875,81.91796875,142,94,217b3bfc6ddfba3f
gready-single-core,1,0.306188901,82.12890625,82.12890625,451,93,a7d91fd745421014
gready-single-core,1,0.251265205,81.1328125,81.1328125,494,97,63f22dd9ee720907
gready-single-core,1,2.629876156,147.23828125,104.67578125,7210,109,fafc7fdb0eeee1b1
gready-single-core,1,0.076730336,85.18359375,85.18359375,99,82,d40ee8411af97f90
gready-single-core,1,0.096147327,87.5234375,87.5234375,147,96,4bb608148045f176
gready-single-core,1,65.547769179,1095.31640625,361.1738541666667,143600,99,9c0c1a7198c0c9ff
gready-single-core,1,0.187854224,35.63671875,35.63671875,573,85,081a5c7ce6a4c372
gready-single-core,1,0.185660792,35.46484375,35.46484375,227,106,7827ce9c2a8ead6b
gready-single-core,0,125.915956438,933.7578125,512.1618125,300000,0,04dd45573e3959df
gready-single-core,1,0.45529585,44.6484375,44.6484375,662,118,f5ae25e65d714828
gready-single-core,1,0.571614172,45.12109375,45.12109375,1218,107,30f3b584e26f2c01
gready-single-core,1,0.243241646,46.26171875,46.26171875,1002,96,4944355182fac08d
gready-single-core,0,125.24628064,1301.28125,740.241935483871,300000,0,fab65a2aea7ffec4
gready-single-core,1,67.411450437,2080.81640625,711.5914789244187,93780,146,35497d250a0bbf25
gready-single-core,1,1.809074249,109.6640625,73.20572916666667,3847,109,87064fb77a926aad
gready-single-core,1,0.070114894,82.71484375,82.71484375,116,78,dbd108386808bf9f
gready-single-core,1,0.074382864,83.3203125,83.3203125,111,88,450110a7e13cbaac
gready-single-core,1,0.081530808,84.53515625,84.53515625,106,87,2cdde2657663668b
gready-single-core,1,3.304715904,200.859375,99.634375,5872,124,a22db5ab7acc8304
gready-single-core,1,1.481666403,76.1484375,71.5234375,3012,105,152fa2212ff4fd5a
gready-single-core,1,0.081948972,74.2578125,74.2578125,104,89,3394633758ef072d
gready-single-core,1,51.341678524,1120.8046875,385.61473034274195,115507,136,1f7287cc81faeb15
gready-single-core,0,153.929151283,1365.74609375,737.3612253289474,300000,0,faf1a626a7f4c0df
gready-single-core,0,140.119128861,1252.140625,689.497509057971,300000,0,639f990efe1a34cb
gready-single-core,1,1.365918292,71.4375,65.75,2857,108,4ce8eeb15e27bbee
gready-single-core,1,9.563078672,299.4609375,154.13113839285714,8653,127,0514ccaeb893f56e
gready-single-core,1,113.926454443,2113.48046875,695.2236548402255,183284,141,862dc8a3b6ccff18
gready-single-core,1,1.157790399,123.18359375,120.93359375,2443,76,647e925a73832354
gready-single-core,1,2.39015213,187.8203125,144.5390625,3511,157,4dfb6486271bb033
gready-single-core,0,123.414598841,1187.29296875,679.9937884221312,300000,0,8a50ede2d0de6d06
gready-single-core,0,152.465986482,1100.859375,632.8163286423841,300000,0,ad9e82c755587cb8
