solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
bfs-single_core,1,65.400393748,2088.3203125,748.3858103197674,130077,62,d44ae6f327a27f6c
bfs-single_core,0,216.201290544,2478.61328125,1277.6619816004672,300000,0,c8ded8c497e912b7
bfs-single_core,0,237.864499815,2531.734375,1305.9063493114406,300000,0,58ef8288f933cb3e
bfs-single_core,0,240.875669862,2911.1640625,1539.4819560669457,300000,0,8fafe5141cfcd6a9
bfs-single_core,0,244.301165196,3000.7421875,1597.9764010847107,300000,0,648a72ea90a452d4
bfs-single_core,0,291.077603849,3408.1015625,1767.9474283854167,300000,0,9fafbeb5fa1f3d55
bfs-single_core,0,354.966163738,4299.05859375,2301.433282140313,300000,0,0b37d4930f1ba94e
bfs-single_core,0,282.766472267,3193.234375,1796.7263113839285,300000,0,59fc81b03888324b
